序号,操作类型,批次,记录表,记录ID,词库ID,词库名称,word_clean_id,修改前单词,修改后单词,原始中文释义,word_clean中文释义,删除前例句,删除前例句翻译,修复原因,处理结果,事务版本
1,修改原始单词拼写,01-April单项修复,word,78494,36,KaoYan_2,1087,april,April,四月,四月,,,原释义与 word_clean 均为“四月”，修正月份专有名词大小写,已修改并验证,10254094
2,修改原始单词拼写,02-释义完全一致,word,5462,4,SAT_3,685,Aluminum,aluminum,铝,铝,,,原释义与 word_clean 释义完全一致，且修正后无同词库冲突,已修改并验证,10254373
3,修改原始单词拼写,02-释义完全一致,word,14409,9,SAT_2,685,Aluminum,aluminum,铝,铝,,,原释义与 word_clean 释义完全一致，且修正后无同词库冲突,已修改并验证,10254373
4,修改原始单词拼写,02-释义完全一致,word,17238,12,Level8luan_2,14774,phosphorus,Phosphorus,磷,磷,,,原释义与 word_clean 释义完全一致，且修正后无同词库冲突,已修改并验证,10254373
5,修改原始单词拼写,02-释义完全一致,word,18570,12,Level8luan_2,8540,God,god,神；（大写首字母时）上帝；膜拜，崇拜,神；（大写首字母时）上帝；膜拜，崇拜,,,原释义与 word_clean 释义完全一致，且修正后无同词库冲突,已修改并验证,10254373
6,修改原始单词拼写,02-释义完全一致,word,29911,13,GaoZhong_2,10671,internet,Internet,因特网,因特网,,,原释义与 word_clean 释义完全一致，且修正后无同词库冲突,已修改并验证,10254373
7,修改原始单词拼写,02-释义完全一致,word,30089,13,GaoZhong_2,11807,Lost,lost,失去的；丧失的；迷惑的；遗失（lose的过去分词）；失败,失去的；丧失的；迷惑的；遗失（lose的过去分词）；失败,,,原释义与 word_clean 释义完全一致，且修正后无同词库冲突,已修改并验证,10254373
8,修改原始单词拼写,02-释义完全一致,word,30240,13,GaoZhong_2,12870,Mosquito,mosquito,蚊子,蚊子,,,原释义与 word_clean 释义完全一致，且修正后无同词库冲突,已修改并验证,10254373
9,修改原始单词拼写,02-释义完全一致,word,31028,13,GaoZhong_2,17959,Shanghai,shanghai,上海（中国东部港市）,上海（中国东部港市）,,,原释义与 word_clean 释义完全一致，且修正后无同词库冲突,已修改并验证,10254373
10,修改原始单词拼写,02-释义完全一致,word,40673,18,GRE_2,14774,phosphorus,Phosphorus,磷,磷,,,原释义与 word_clean 释义完全一致，且修正后无同词库冲突,已修改并验证,10254373
11,修改原始单词拼写,02-释义完全一致,word,44226,20,PEPXiaoXue4_1,18653,soup,Soup,汤,汤,,,原释义与 word_clean 释义完全一致，且修正后无同词库冲突,已修改并验证,10254373
12,修改原始单词拼写,02-释义完全一致,word,56717,29,Level8_2,8540,God,god,神；（大写首字母时）上帝；膜拜，崇拜,神；（大写首字母时）上帝；膜拜，崇拜,,,原释义与 word_clean 释义完全一致，且修正后无同词库冲突,已修改并验证,10254373
13,修改原始单词拼写,02-释义完全一致,word,60005,29,Level8_2,14774,phosphorus,Phosphorus,磷,磷,,,原释义与 word_clean 释义完全一致，且修正后无同词库冲突,已修改并验证,10254373
14,修改原始单词拼写,02-释义完全一致,word,76499,36,KaoYan_2,10671,internet,Internet,因特网,因特网,,,原释义与 word_clean 释义完全一致，且修正后无同词库冲突,已修改并验证,10254373
15,修改原始单词拼写,02-释义完全一致,word,77366,36,KaoYan_2,12762,monday,Monday,星期一,星期一,,,原释义与 word_clean 释义完全一致，且修正后无同词库冲突,已修改并验证,10254373
16,修改原始单词拼写,02-释义完全一致,word,77749,36,KaoYan_2,19480,sunday,Sunday,星期日；礼拜日,星期日；礼拜日,,,原释义与 word_clean 释义完全一致，且修正后无同词库冲突,已修改并验证,10254373
17,修改原始单词拼写,02-释义完全一致,word,77925,36,KaoYan_2,11059,july,July,七月,七月,,,原释义与 word_clean 释义完全一致，且修正后无同词库冲突,已修改并验证,10254373
18,修改原始单词拼写,02-释义完全一致,word,77978,36,KaoYan_2,20753,tv,TV,电视（television）,电视（television）,,,原释义与 word_clean 释义完全一致，且修正后无同词库冲突,已修改并验证,10254373
19,修改原始单词拼写,02-释义完全一致,word,78151,36,KaoYan_2,17425,saturday,Saturday,星期六,星期六,,,原释义与 word_clean 释义完全一致，且修正后无同词库冲突,已修改并验证,10254373
20,修改原始单词拼写,02-释义完全一致,word,78192,36,KaoYan_2,3285,christmas,Christmas,圣诞节；圣诞节期间,圣诞节；圣诞节期间,,,原释义与 word_clean 释义完全一致，且修正后无同词库冲突,已修改并验证,10254373
21,修改原始单词拼写,02-释义完全一致,word,78409,36,KaoYan_2,17849,september,September,九月,九月,,,原释义与 word_clean 释义完全一致，且修正后无同词库冲突,已修改并验证,10254373
22,修改原始单词拼写,02-释义完全一致,word,78425,36,KaoYan_2,20701,tuesday,Tuesday,星期二,星期二,,,原释义与 word_clean 释义完全一致，且修正后无同词库冲突,已修改并验证,10254373
23,修改原始单词拼写,02-释义完全一致,word,78983,36,KaoYan_2,13452,november,November,十一月,十一月,,,原释义与 word_clean 释义完全一致，且修正后无同词库冲突,已修改并验证,10254373
24,修改原始单词拼写,02-释义完全一致,word,79330,36,KaoYan_2,13622,october,October,[天] 十月,[天] 十月,,,原释义与 word_clean 释义完全一致，且修正后无同词库冲突,已修改并验证,10254373
25,修改原始单词拼写,02-释义完全一致,word,79879,36,KaoYan_2,10941,january,January,一月,一月,,,原释义与 word_clean 释义完全一致，且修正后无同词库冲突,已修改并验证,10254373
26,修改原始单词拼写,02-释义完全一致,word,80056,36,KaoYan_2,7364,february,February,二月,二月,,,原释义与 word_clean 释义完全一致，且修正后无同词库冲突,已修改并验证,10254373
27,修改原始单词拼写,02-释义完全一致,word,80082,36,KaoYan_2,13183,negro,Negro,黑人；黑人的,黑人；黑人的,,,原释义与 word_clean 释义完全一致，且修正后无同词库冲突,已修改并验证,10254373
28,修改原始单词拼写,02-释义完全一致,word,80185,36,KaoYan_2,12166,marxist,Marxist,马克思主义者；马克思主义的,马克思主义者；马克思主义的,,,原释义与 word_clean 释义完全一致，且修正后无同词库冲突,已修改并验证,10254373
29,修改原始单词拼写,02-释义完全一致,word,80247,36,KaoYan_2,3280,christ,Christ,基督；救世主；天啊！,基督；救世主；天啊！,,,原释义与 word_clean 释义完全一致，且修正后无同词库冲突,已修改并验证,10254373
30,修改原始单词拼写,02-释义完全一致,word,80537,36,KaoYan_2,4848,december,December,十二月,十二月,,,原释义与 word_clean 释义完全一致，且修正后无同词库冲突,已修改并验证,10254373
31,修改原始单词拼写,02-释义完全一致,word,80676,36,KaoYan_2,20208,thursday,Thursday,星期四,星期四,,,原释义与 word_clean 释义完全一致，且修正后无同词库冲突,已修改并验证,10254373
