category,subtype,word_clean_id,word,meaning,best_sentence,sentence_translation,confidence,note
人名,名字,37,Abigail,阿比盖尔（女名）,Abigail always arrives early to organize the books before the library opens to the public.,阿比盖尔总是在图书馆向公众开放前早早到达整理书籍。,高,
人名,名字,583,Alfred,艾尔弗雷德（男名）,Alfred always arrives ten minutes early to prepare for his morning meetings.,艾尔弗雷德总是提前十分钟到达，为晨会做准备。,高,
人名,名字,779,Amy,艾米（女名）,Amy always arrives at school early to help her teacher prepare the lessons.,艾米总是早早到校帮助老师备课。,高,
人名,文学/神话人物,824,Andromeda,"埃塞俄比亚的公主, 仙女座",Astronomers study the Andromeda galaxy to learn more about how stars form.,天文学家研究仙女座星系以了解恒星是如何形成的。,高,
人名,名字,863,Annie,安妮（女名）,"Annie is my best friend, and we have known each other since childhood.",安妮是我最好的朋友，我们从小就认识。,高,
人名,姓氏,1177,Armstrong,阿姆斯特朗（姓）,Neil Armstrong was the first person to walk on the moon.,尼尔·阿姆斯特朗是第一个在月球上行走的人。,高,
人名,名字,1213,Arthur,亚瑟,Arthur is the main character in many classic stories.,亚瑟是许多经典故事中的主角。,高,
人名,兼有地名义的人名,1366,Atlanta,亚特兰大（女名；城市名）,Atlanta is the capital of the state of Georgia in the United States.,亚特兰大是美国佐治亚州的首府。,中,同一词条兼有人名和地名义
人名,名字,1404,Atticus,阿提斯库,Atticus Finch is a famous character from the novel 'To Kill a Mockingbird'.,阿提克斯·芬奇是小说《杀死一只知更鸟》中的著名人物。,高,
人名,姓氏,1621,Bahmad,巴姆德（姓）,Mr. Bahmad is a well-known researcher in our department.,巴姆德先生是我们系里著名的研究员。,高,
人名,名字,1816,Becky,贝姬（女名）,Becky always brings homemade cookies to share with her classmates.,贝姬总是带自制饼干和同学分享。,高,
人名,名字,1943,Bert,伯特（男名）,Bert is a common nickname for people named Robert or Albert.,伯特是罗伯特或阿尔伯特等名字的常见昵称。,高,
人名,名字,2024,Billy,比利（男名）,Billy always brings his favorite comic books to school every Monday morning.,比利每周一早上都会把他最喜欢的漫画书带到学校。,高,
人名,历史/艺术人物,2351,Braille,用盲字印；布莱叶（法国盲人教育家）；盲人用点字法,Blind people read books written in Braille by touching the raised dots.,盲人通过触摸凸起的点来阅读用布莱叶盲文写的书。,高,
人名,名字,2414,Brian,布莱恩（男名）,Brian arrived at the meeting five minutes early to set up the projector.,布莱恩提前五分钟到达会议现场架设投影仪。,高,
人名,宗教/神话人物,2515,Buddha,佛陀；佛像,Many visitors come to the temple to pay respects to the golden Buddha statue.,许多游客来到寺庙向金色佛像致敬。,高,
人名,兼有普通词义的人名,2529,Buford,布福德（姓氏；男名）,Mr. Buford is the new principal of our school.,布福德先生是我们学校的新校长。,中,
人名,名字,2679,Caius,凯厄斯,Caius is an ancient Roman name that is rarely used today.,凯厄斯是一个古罗马名字，如今很少使用。,高,
人名,名字,2871,Carl,卡尔（男名）,Carl always arrives early to work and helps his colleagues set up the meeting room.,卡尔总是提前到达工作岗位，并帮助同事布置会议室。,高,
人名,名字,2872,Carla,卡拉（女名）,Carla invited us to her birthday party next Saturday.,卡拉邀请我们参加她下周六的生日派对。,高,
人名,名字,2874,Carmen,卡门（女名）,Carmen loves traveling and has visited over twenty countries around the world.,卡门喜欢旅行，已经访问过世界上二十多个国家。,高,
人名,名字,2882,Caroline,卡罗琳,Caroline always brings delicious homemade cookies to the office on Fridays.,卡罗琳总是在周五给办公室带来美味的自制饼干。,高,
人名,姓氏,2911,Casey,凯西（姓）,Casey decided to move to a new city to start a fresh career in design.,凯西决定搬到一个新城市，在设计领域开启全新的职业生涯。,高,
人名,历史/艺术人物,2959,CatherineⅡ,叶卡捷琳娜二世（俄国女皇）,"CatherineⅡ, also known as Catherine the Great, expanded the Russian Empire.",叶卡捷琳娜二世，也被称为叶卡捷琳娜大帝，扩张了俄罗斯帝国。,高,
人名,宗教/神话人物,3280,Christ,基督；救世主；天啊！,"For Christians, Christ is the central figure of their faith.",对基督徒来说，基督是他们信仰的核心人物。,中,属于宗教或神话专名，不是现实人物姓名
人名,兼有普通词义的人名,3301,chuck,[机] 卡盘；抚弄；赶走；恰克（人名）；丢弃，抛掷；驱逐；轻拍,Please chuck those old magazines in the recycling bin.,请把那些旧杂志扔进回收箱里。,中,最佳例句当前使用普通词义，人名义需人工决定是否清理
人名,文学/神话人物,3331,Circe,瑟茜（希腊神话女巫，有把人变成猪的法术）,"In Greek mythology, Circe used her magic to turn sailors into pigs.",在希腊神话中，瑟茜用她的魔法把水手变成了猪。,高,
人名,名字,3373,Claire,克莱尔（女名）,Claire always brings homemade cookies to share with her classmates every Friday.,克莱尔每个星期五都会带自制饼干和同学们分享。,高,
人名,名字,3385,Clancy,克兰西（男名）,My neighbor Clancy always helps elderly people carry their groceries up the stairs.,我的邻居克兰西总是帮助老年人把杂货提上楼梯。,高,
人名,名字,3392,Clara,克拉拉（女名）,Clara carefully organized her study notes before the final examination week.,克拉拉在期末考试周前仔细整理了自己的学习笔记。,高,
人名,文学/神话人物,4252,Cordelia,科迪莉亚,Cordelia is a character in Shakespeare's play King Lear.,科迪莉亚是莎士比亚戏剧《李尔王》中的一个角色。,高,
人名,兼有普通词义的人名,4652,curt,简略的；简要的；草率的；简单粗暴的；(Curt)人名；(法)屈尔；(英)柯特；(德、西、芬、罗、瑞典)库尔特,Her curt reply made it clear that she did not want to continue the conversation.,她简短生硬的回复表明她不想继续谈话。,中,最佳例句当前使用普通词义，人名义需人工决定是否清理
人名,名字,4737,Dan,丹 • 德维什,Dan decided to take a long vacation after finishing his major project.,丹在完成他的主要项目后决定休一个长假。,高,
人名,姓氏,5058,Dempsey,登普西（姓）,Jack Dempsey was a legendary boxer who inspired many young fighters in his time.,杰克·登普西是一位传奇拳击手，在当时激励了许多年轻拳手。,高,
人名,名字,6314,Elias,伊莱亚斯（男名）,Elias is a common name in many European countries.,伊莱亚斯在许多欧洲国家是一个常见的名字。,高,
人名,名字,6325,elliot,埃利奥特(男子名),Elliot decided to move to the countryside after retiring from his busy city job.,埃利奥特从繁忙的城市工作退休后，决定搬到乡下居住。,高,
人名,名字,6398,Emily,埃米莉（女名）,Emily always brings homemade cookies to share with her classmates every Friday.,艾米丽每周五都会带自制饼干与同学分享。,高,
人名,姓氏,6874,Ewell,尤厄尔,Bob Ewell is a character in the novel To Kill a Mockingbird.,鲍勃·尤厄尔是小说《杀死一只知更鸟》中的一个人物。,高,
人名,名字,8006,Freddy,弗雷迪（男名）,Freddy is my neighbor's son who plays the guitar very well.,弗雷迪是我邻居的儿子，吉他弹得非常好。,高,
人名,姓氏,8263,Garcia,加西亚（姓）,Mr. Garcia is our new history teacher who tells fascinating stories.,加西亚先生是我们新来的历史老师，他讲的故事非常引人入胜。,高,
人名,文学/神话人物,8556,Goneril,贡纳莉,"In King Lear, Goneril shows great ambition and cruelty toward her father.",在《李尔王》中，贡纳莉对父亲表现出极大的野心和残忍。,高,
人名,姓氏,8712,Griffin,格里芬（姓）,Mr. Griffin taught history at the high school for over thirty years.,格里芬先生在这所高中教历史三十多年了。,高,
人名,姓氏,8912,hamlin,哈姆林（姓氏）,Mr. Hamlin is a respected teacher who has worked at the school for twenty years.,哈姆林先生是一位受人尊敬的老师，在这所学校工作了二十年。,高,
人名,名字,9001,Hari,哈利（男名）,My friend Hari enjoys playing cricket with us every weekend.,我的朋友哈利每个周末都喜欢和我们一起打板球。,高,
人名,兼有普通词义的人名,9022,harry,折磨；掠夺；骚扰；使苦恼；(Harry)人名；(英)哈里，哈丽(女名)(教名Henry、Harriet的昵称),The rebel forces continued to harry the government troops throughout the night.,叛军整夜不断骚扰政府军。,中,最佳例句当前使用普通词义，人名义需人工决定是否清理
人名,姓氏,9066,Hayes,海斯（姓）,Mr. Hayes moved to Chicago last year to work at a new marketing firm.,海斯先生去年搬到了芝加哥，在一家新的营销公司工作。,高,
人名,姓氏,9211,Henderson,亨德森（姓氏）,Mr. Henderson has been our family doctor for over twenty years.,亨德森先生担任我们的家庭医生已经超过二十年了。,高,
人名,姓氏,9287,Higgins,希金斯 （姓）,Professor Higgins is famous for his work on phonetics.,希金斯教授因其在语音学方面的工作而闻名。,高,
人名,文学/神话人物,9332,Hippomenes,希波墨涅斯（男名；古希腊人名）,"In the myth, Hippomenes used golden apples to win the race against Atalanta.",在神话中，希波墨涅斯用金苹果赢得了与阿塔兰忒的赛跑。,高,
人名,名字,9483,Horace,霍勒斯（男名）,Horace spent his entire childhood reading classical poetry under the old oak tree.,霍勒斯整个童年都在那棵老橡树下阅读古典诗歌。,高,
人名,姓氏,9654,Hussey,赫西,Mr. Hussey arrived at the office ten minutes early every single day.,赫西先生每天提前十分钟到达办公室。,高,
人名,名字,10937,Jamie,杰米（男名）,Jamie always brings homemade cookies to share with his classmates during lunch.,杰米总是在午餐时带自制饼干与同学分享。,高,
人名,名字,10938,Janice,贾尼丝（女名）,Janice practiced the piano for two hours before her recital last night.,昨晚演出前，贾尼丝练习了两个小时钢琴。,高,
人名,姓氏,10940,Janson,詹森（姓）,Mr. Janson is the new history teacher at our school.,詹森先生是我们学校新来的历史老师。,高,
人名,名字,10949,Jason,杰森（男名）,Jason saved enough money from his part-time job to buy a new laptop.,杰森从兼职工作中存够了钱买一台新笔记本电脑。,高,
人名,名字,10969,Jem,杰姆,"Jem is my brother's nickname, short for Jeremy.",杰姆是我哥哥的昵称，是杰里米的简称。,高,
人名,名字,10976,Jerry,杰里（男名）；杰丽（女名）,Jerry always brings a smile to our faces with his cheerful jokes.,杰里总是用他愉快的笑话给我们大家带来笑容。,高,
人名,名字,10978,Jessica,杰茜卡（女名）,Jessica works as a nurse at the hospital.,杰茜卡在医院当护士。,高,
人名,宗教/神话人物,10983,Jesus,耶稣（上帝之子）；杰西（男子名）,Jesus is a central figure in Christianity.,耶稣是基督教的核心人物。,高,
人名,姓氏,10993,Jewett,朱厄特（姓氏）,Sarah Orne Jewett was a famous American writer of regional fiction.,萨拉·奥恩·朱厄特是美国著名的乡土小说作家。,高,
人名,名字,11025,Joseph,约瑟夫,Joseph always arrives ten minutes early to prepare for his presentations.,约瑟夫总是提前十分钟到达，为他的演讲做准备。,高,
人名,名字,11057,Jules,朱尔斯（男子名）,My friend Jules loves to travel to different countries every summer.,我的朋友朱尔斯喜欢每年夏天去不同的国家旅行。,高,
人名,名字,11058,Julie,朱莉（女名）,Julie baked a delicious chocolate cake for her neighbor's birthday party.,朱莉为邻居的生日派对烤了一个美味的巧克力蛋糕。,高,
人名,兼有普通词义的人名,11067,June,六月；琼（人名，来源于拉丁语，含义是“年轻气盛的六月”）,We plan to visit our grandparents every June to celebrate their anniversary.,我们计划每年六月去探望祖父母以庆祝他们的结婚纪念日。,中,
人名,宗教/神话人物,11072,Jupiter,[天] 木星；朱庇特（罗马神话中的宙斯神）,Astronomers use powerful telescopes to observe the storms on Jupiter.,天文学家使用强大的望远镜观察木星上的风暴。,中,属于宗教或神话专名，不是现实人物姓名
人名,名字,11100,Katherine,凯瑟琳（女子名）,Katherine always arrives early to class and takes detailed notes during every lecture.,凯瑟琳总是提前到达教室，并在每堂课上做详细的笔记。,高,
人名,名字,11101,Katie,凯蒂（女名）,Katie baked a delicious chocolate cake to celebrate her friend's birthday.,凯蒂烤了一个美味的巧克力蛋糕来庆祝她朋友的生日。,高,
人名,历史/艺术人物,11112,Kelvin,绝对温标；凯尔文（男子名）；[热] 开尔文（英国物理学家，数学家）；开氏度的（常作K-）,Scientists often measure extremely low temperatures using the Kelvin scale.,科学家通常使用开尔文温标来测量极低的温度。,高,
人名,名字,11126,Kevin,凯文（男名）,Kevin arrived early to help set up the chairs for the community meeting.,凯文提前到达，帮忙为社区会议摆放椅子。,高,
人名,名字,11183,Kitty,基蒂（女名）,Kitty always brings homemade cookies to share with her classmates.,基蒂总是带自制饼干和同学分享。,高,
人名,名字,11496,lesley,莱斯利（女子名）,Lesley always arrives at the office early because she enjoys organizing her desk before the day begins.,莱斯利总是提前到达办公室，因为她喜欢在一天开始前整理自己的办公桌。,高,
人名,兼有普通词义的人名,11503,Lester,莱斯特（姓错；男名）,My friend Lester loves playing guitar in his free time.,我的朋友莱斯特喜欢在空闲时间弹吉他。,中,
人名,名字,11532,Lia,莉亚（女名）,Lia practiced the piano every evening until she finally mastered the difficult piece for her recital.,莉亚每天晚上练习钢琴，直到她终于掌握了独奏会上那首困难的曲子。,高,
人名,名字,11803,Lori,罗丽（女名）,Lori is my best friend from college.,罗丽是我大学最好的朋友。,高,
人名,名字,11854,Luke,卢克（男名）,Luke always arrives ten minutes early to meetings to show his respect for others' time.,卢克总是提前十分钟到达会议，以表示对他人的尊重。,高,
人名,名字,12115,Margot,玛戈（女名）,Margot invited us to her birthday party next Saturday.,玛戈邀请我们下周六参加她的生日聚会。,高,
人名,名字,12116,Maria,玛丽亚（女名）,Maria speaks three languages fluently.,玛丽亚能流利地说三种语言。,高,
人名,名字,12117,Marie,玛丽（女名）；马里（男名）,Marie decided to study abroad for a year.,玛丽决定出国留学一年。,高,
人名,名字,12121,Marion,玛丽安（女名）,Marion decided to take up painting after visiting the local art museum last summer.,玛丽安去年夏天参观当地艺术博物馆后决定开始学习绘画。,高,
人名,宗教/神话人物,12147,Mars,战神；[天] 火星,Scientists are searching for signs of past life on Mars.,科学家们正在火星上寻找过去生命的迹象。,中,属于宗教或神话专名，不是现实人物姓名
人名,名字,12159,Marty,马蒂•菲尔丁,Marty greeted his classmates with a warm smile every morning.,马蒂每天早上都带着温暖的微笑向同学们打招呼。,高,
人名,历史/艺术人物,12167,Masaccio,马萨乔（意大利画家）,Masaccio was a pioneering Italian painter known for his realistic frescoes.,马萨乔是一位开创性的意大利画家，以逼真的壁画而闻名。,高,
人名,历史/艺术人物,12214,Matisse,马蒂斯（法国画家）,The museum exhibition features several famous paintings by Matisse.,博物馆展览展出了马蒂斯的几幅著名画作。,高,
人名,名字,12243,Mayella,梅耶拉,Mayella testified quietly about what happened that day.,梅耶拉轻声作证那天发生的事情。,高,
人名,历史/艺术人物,12461,Michelangelo,米开朗基罗（意大利文艺复兴雕刻家、画家、建筑师和诗人）,Michelangelo painted the famous ceiling of the Sistine Chapel.,米开朗基罗绘制了西斯廷教堂著名的天顶画。,高,
人名,历史/艺术人物,12763,Monet,莫奈（法国画家）,Students at the art school spent the afternoon studying Monet’s famous water lily paintings.,艺术学校的学生们花了整个下午研究莫奈著名的睡莲画作。,高,
人名,姓氏,12796,Monroe,门罗(m),Marilyn Monroe was a famous Hollywood actress.,玛丽莲·梦露是一位著名的好莱坞女演员。,高,
人名,兼有地名义的人名,13080,Napier,内皮尔（新西兰北岛东岸港口城市）；纳皮尔（人名）,"Every summer, tourists flock to Napier to admire its famous art deco architecture.",每年夏天，游客都涌向内皮尔市欣赏其著名的装饰艺术建筑。,中,同一词条兼有人名和地名义
人名,文学/神话人物,13639,Odysseus,奥德修斯,Odysseus was the hero of Homer's epic poem the Odyssey.,奥德修斯是荷马史诗《奥德赛》中的英雄。,高,
人名,名字,13695,Oliver,奥利弗（男名）,Oliver always arrives at school early to help his teacher prepare the lessons.,奥利弗总是早早到校帮老师准备课程。,高,
人名,名字,13870,Orson,奥森,Orson is going to visit his grandmother this weekend.,奥森这个周末要去看望他的祖母。,高,
人名,兼有普通词义的人名,13876,Oscar,奥斯卡,Winning an Oscar is considered the highest achievement for many actors in the film industry.,赢得奥斯卡奖被电影界许多演员视为最高成就。,中,
人名,名字,13894,Oswald,奥斯瓦尔德,Oswald is a character in Shakespeare's play.,奥斯瓦尔德是莎士比亚戏剧中的一个人物。,高,
人名,兼有普通词义的人名,14135,paddy,稻田（复数paddies）；爱尔兰人；Patrick（男子名）和Patricia（女子名）的昵称,The farmers worked together to plant rice in the flooded paddy.,农民们一起在注水的稻田里种植水稻。,中,最佳例句当前使用普通词义，人名义需人工决定是否清理
人名,名字,14187,Pam,帕姆（女名）,Pam always brings homemade cookies to the office every Friday afternoon.,帕姆每个星期五下午都会给办公室带来自制饼干。,高,
人名,兼有地名义的人名,14276,Paris,巴黎（法国首都）；帕里斯（特洛伊王子）,They dreamed of visiting Paris to see the Eiffel Tower.,他们梦想去巴黎看埃菲尔铁塔。,中,同一词条兼有人名和地名义
人名,名字,14391,Patricia,帕特丽夏（女子名）,Patricia arrived early to the meeting and prepared the presentation materials before anyone else.,帕特丽夏提前到达了会议，并在其他人之前准备好了演示材料。,高,
人名,名字,14408,Paula,葆拉 （女名）,Paula always arrives at the office early to prepare for the day ahead.,葆拉总是提前到达办公室，为接下来的一天做准备。,高,
人名,历史/艺术人物,14410,Pausanias,帕萨尼亚斯（男名；古希腊人名）,The history professor explained how Pausanias traveled across ancient Greece to record its temples.,历史教授解释了帕萨尼亚斯如何穿越古希腊各地记录神庙。,高,
人名,姓氏,14446,Pearce,皮尔斯（姓）,Mr. Pearce taught mathematics at the local high school for over twenty years.,皮尔斯先生在当地高中教授数学超过二十年。,高,
人名,文学/神话人物,14514,Penelope,珀涅罗珀（Odysseus 的忠实妻子）,Penelope waited faithfully for her husband Odysseus to return home.,珀涅罗珀忠实地等待她的丈夫奥德修斯回家。,高,
人名,文学/神话人物,14645,Perseus,珀尔休斯（希腊主神宙斯之女，杀死怪 Medusa 的英雄）,"In Greek mythology, Perseus used a polished shield to defeat the monster Medusa.",在希腊神话中，珀尔修斯用一面抛光的盾牌击败了怪物美杜莎。,高,
人名,历史/艺术人物,14812,Picasso,毕加索（西班牙画家）,Picasso is considered one of the most influential artists of the twentieth century.,毕加索被认为是二十世纪最有影响力的艺术家之一。,高,
人名,姓氏,14816,Pickering,皮克林（姓）,Mr. Pickering is a character in the famous play Pygmalion.,皮克林先生是著名戏剧《卖花女》中的一个角色。,高,
人名,文学/神话人物,15567,Procrustes,普罗克拉斯提斯（古希腊神话传说中 Attica 的一个强盗）,"In the myth, Procrustes would stretch or cut off the legs of his victims to fit his iron bed.",在神话中，普罗克拉斯提斯会拉伸或砍断受害者的腿以适应他的铁床。,高,
人名,文学/神话人物,15939,Pygmalion,皮格马利翁（希腊神话）,The story of Pygmalion is a famous Greek myth about a sculptor who falls in love with his own statue.,皮格马利翁的故事是一个著名的希腊神话，讲述了一位雕塑家爱上自己雕像的故事。,高,
人名,文学/神话人物,16488,Regan,里根,Regan is a character in Shakespeare's play King Lear.,里根是莎士比亚戏剧《李尔王》中的一个角色。,高,
人名,名字,17110,Roderick,罗德里克（男名）,Roderick is my best friend from college and we still meet every week.,罗德里克是我大学时最好的朋友，我们现在仍然每周见面。,高,
人名,兼有普通词义的人名,17112,roger,好；知道了；罗杰（男子名）,The ship captain acknowledged the harbor master's navigation advice by replying roger over the radio.,船长通过对讲机回复“收到”，确认了港务长的航行建议。,中,最佳例句当前使用普通词义，人名义需人工决定是否清理
人名,名字,17142,Rosalyn,罗莎琳（女名）,Rosalyn always brings homemade cookies to the office party.,罗莎琳总是给办公室聚会带自制饼干。,高,
人名,名字,17326,Sally,萨利（女名）,My friend Sally loves to bake cookies for her neighbors on weekends.,我的朋友萨莉喜欢在周末为邻居们烤饼干。,高,
人名,名字,17344,Sam,萨姆（男名）,Sam enjoys playing basketball with his friends after school.,萨姆喜欢在放学后和朋友们一起打篮球。,高,
人名,名字,17350,Samuel,塞缪尔,Samuel practiced the piano every day to prepare for the recital.,塞缪尔每天练习钢琴，为独奏会做准备。,高,
人名,姓氏,17363,Sanders,桑德斯（姓）,Mr. Sanders taught mathematics at the local high school for twenty years.,桑德斯先生在当地高中教了二十年数学。,高,
人名,兼有普通词义的人名,17367,sandy,沙地的；多沙的；含沙的；(Sandy)人名；(法、喀、罗、西、英)桑迪(教名Alasdair、Alastair、Alexander、Alister、Elshender的昵称),"We walked barefoot across the warm, sandy beach during our summer vacation.",暑假期间，我们赤脚走在温暖多沙的海滩上。,中,最佳例句当前使用普通词义，人名义需人工决定是否清理
人名,宗教/神话人物,17399,Satan,撒旦（魔鬼）,Many religious texts describe Satan as the ultimate symbol of evil.,许多宗教文本将撒旦描述为邪恶的终极象征。,中,属于宗教或神话专名，不是现实人物姓名
人名,姓氏,17421,Sato,佐藤（日本姓氏）,Sato is one of the most common family names in Japan.,佐藤是日本最常见的姓氏之一。,高,
人名,文学/神话人物,17605,Scrooge,斯克鲁奇；（非正式）吝啬鬼,My uncle is such a Scrooge; he never wants to spend money on gifts.,我叔叔真是个吝啬鬼；他从不愿意花钱买礼物。,高,
人名,名字,17864,Serena,赛丽娜,Serena is a talented tennis player who has won many championships.,塞雷娜是一位才华横溢的网球运动员，赢得了许多冠军。,高,
人名,历史/艺术人物,17942,Shakespeare,莎士比亚（英国剧作家，诗人）,Shakespeare was a famous English playwright and poet.,莎士比亚是著名的英国剧作家和诗人。,高,
人名,姓氏,18017,Shipley,希普利（姓）,Professor Shipley published several important papers on renewable energy last year.,希普利教授去年发表了几篇关于可再生能源的重要论文。,高,
人名,文学/神话人物,18222,Sinis,西尼斯（古希腊神话中的一个强盗）,"In Greek myth, Sinis was a robber who killed travelers by bending pine trees.",在希腊神话中，西尼斯是一个通过弯曲松树来杀害旅行者的强盗。,高,
